ID,Title,Severity,Module,Steps,Expected,Actual,Status
BB-01,Ошибка 500 при открытии /Catalog?items=0,Critical,Catalog,Открыть /Catalog с items=0,HTTP 200 и пустая выдача,HTTP 500 и стак-трейс,Open
BB-02,Потеря корзины после логина,High,Basket/Auth,"Добавить товар, затем логин",Корзина сохраняется,Корзина пустая,Open
BB-03,Дубли товаров в поиске по спецсимволам,Medium,Search,"Выполнить поиск по ""nike+air""",Уникальные результаты,Дубликаты позиций,Open
BB-04,Неверный пересчёт итога при qty>10,High,Basket,Установить количество 11,Корректный итог,Итог меньше ожидаемого,Open
BB-05,Случайные 502 при подтверждении заказа,Critical,Checkout,Оформить заказ 3 раза подряд,Все 3 успешны,1 из 3 завершается 502,Open
BB-06,XSS в поле поиска (экранирование),High,Search/UI,Ввести <script>alert(1)</script>,Отображение экранированной строки,Выполняется алерт,Open
BB-07,Падение статической сборки на Linux,Medium,Build,Собрать и запустить на Ubuntu,Успешный старт,Ошибка копирования wwwroot,Open
BB-08,Медленная загрузка картинок каталога,Low,Catalog/CDN,Открыть главную,Загрузка <2с,>6с до полной загрузки,Open
BB-09,Конфликт транзакций при одновременном оформлении,High,Checkout/DB,Два параллельных заказа на один товар,Оба успешны или один отклонён корректно,Падает оба с 500,Open
BB-10,Локализация: часть строк на английском,Low,UI,Сменить язык на RU,Все строки на RU,Часть UI на EN,Open
